,url,name,sku,price,size,brand,description,images
83,https://us.shein.com/Criss-Cross-One-Piece-Swimsuit-p-5222037-cat-2193.html?mallCode=1,Criss Cross One Piece Swimsuit, SKU: sw2109258196946122,$12.00,"S(4),M(6),L(8/12)",,"[{'Color': 'Black'}, {'Style': 'Sexy'}, {'Pattern Type': 'Plain'}, {'Details': 'Backless, Criss Cross'}, {'Bottom Type': 'High Cut'}, {'Bra Type': 'Wireless Bra'}, {'Neckline': 'Spaghetti Strap'}, {'Fabric': 'Slight Stretch'}, {'Material': 'Fabric'}, {'Composition': '82% Polyester, 18% Elastane'}, {'Care Instructions': 'Machine wash, do not dry clean'}, {'Body': 'Yes'}, {'Chest pad': 'Removable Padding'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/04/11/1649662702415b74bdd0a0ff45d9bbf80d249b687a_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/04/11/1649662708cc856cba742d486074f4ba932314b20f_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/06/13/165511914055de3366739602f0e625fcaa7ff3a2b4_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/04/11/1649662702415b74bdd0a0ff45d9bbf80d249b687a_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/04/11/164966270400fb89c300e041800e845b1f069880db_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/04/11/16496627065d49f730b3b493f7516ee98e0d367d1b_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/04/11/1649662702415b74bdd0a0ff45d9bbf80d249b687a_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/04/11/1649662708cc856cba742d486074f4ba932314b20f_thumbnail_600x.webp']"
84,https://us.shein.com/Slit-Thigh-Crochet-Cover-Up-p-7640872-cat-2176.html?mallCode=1,Slit Thigh Crochet Cover Up, SKU: sw2111180938709087,$10.99,"XS,S,M,L,XL,one-size",,"[{'Color': 'Apricot'}, {'Neckline': 'V neck'}, {'Pattern Type': 'Plain'}, {'Sleeve Length': 'Sleeveless'}, {'Details': 'Tassel'}, {'Fabric': 'Non-Stretch'}, {'Material': 'Fabric'}, {'Composition': '65% Viscose, 35% Polyester'}, {'Care Instructions': 'Hand wash or professional dry clean'}, {'Sheer': 'Yes'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/19/1666163160b982c467714b3f773b605bdf24c88dd2_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/19/1666163153f0d9688c087b5fd764116e087be78cb5_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/19/16661631557aa0b8e095f7c1b4de2940116246023e_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/19/166616315684f44a7dfa0ac33c1a7357bfdfd971c3_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/19/166616315874d56df58a3c8bd481837897d9d3375b_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/19/1666163160b982c467714b3f773b605bdf24c88dd2_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/19/1666163161889ac65b648d215ca8c6fe24205381e8_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/19/16661631631c09e17634e5464c7ec0f84944312dac_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/19/1666163160b982c467714b3f773b605bdf24c88dd2_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/19/1666163153f0d9688c087b5fd764116e087be78cb5_thumbnail_600x.webp']"
85,https://us.shein.com/ROMWE-PUNK-Grunge-Floral-Print-Crop-Tee-p-11606022-cat-1738.html?mallCode=1,ROMWE PUNK Grunge Floral Print Crop Tee, SKU: sw2208233033136355,$6.49,"XS(2),S(4),M(6),L(8/10)",ROMWE,"[{'Color': 'Army Green'}, {'Style': 'Casual'}, {'Pattern Type': 'Floral'}, {'Neckline': 'V neck'}, {'Details': 'Bow Front'}, {'Sleeve Length': 'Long Sleeve'}, {'Sleeve Type': 'Regular Sleeve'}, {'Length': 'Crop'}, {'Fit Type': 'Slim Fit'}, {'Fabric': 'Slight Stretch'}, {'Material': 'Knitted Fabric'}, {'Composition': '91% Polyester, 9% Elastane'}, {'Care Instructions': 'Machine wash or professional dry clean'}, {'Sheer': 'No'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/29/1664419241a1db783b1c9e2d7229be6e40286de589_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/29/166441924689887f6dbad1c0514edc9a5ff97b211e_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/29/1664419244da584cf888f6d9d5e98445df7ecbc877_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/29/1664419241a1db783b1c9e2d7229be6e40286de589_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/29/1664419250f166e056f0542b922361e5f54ea06ef0_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/29/1664419253ab8ccf411facfa075ecf5b16f1e9d1ae_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/29/166441925628edf4907a08acad989ea1aa7111855c_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/29/1664419241a1db783b1c9e2d7229be6e40286de589_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/29/166441924689887f6dbad1c0514edc9a5ff97b211e_thumbnail_600x.webp']"
86,https://us.shein.com/3pack-Plain-Halter-Triangle-Bikini-Swimsuit-Cover-Up-p-8332187-cat-1866.html?mallCode=1,3pack Plain Halter Triangle Bikini Swimsuit & Cover Up, SKU: sw2112047711671134,$14.49,"S-XL,S(4),M(6),L(8/12)",,"[{'Color': 'Mint Green'}, {'Style': 'Sexy'}, {'Pattern Type': 'Plain'}, {'Details': 'Criss Cross'}, {'Bottom Type': 'Bikinis'}, {'Bra Type': 'Triangle'}, {'Neckline': 'Halter'}, {'Number of Pieces': '3 Piece Set'}, {'Fabric': 'High Stretch'}, {'Care Instructions': 'Machine wash, do not dry clean'}, {'Chest pad': 'Removable Padding'}, {'Bikini Bottoms & Bikini Tops Material': 'Fabric'}, {'Bikini Bottoms & Bikini Tops Composition': '80% Polyamide, 20% Elastane'}, {'Bikini Bottoms & Bikini Tops Body': 'Lined'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/13/1639366164f7d9d3dff33cabe3da7575ce324e4827_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/27/1640584417244dc158a16326316e913f035f0a43b1_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/13/1639366171270614c9406a9e1f2d272c90684a6a41_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/13/1639366164f7d9d3dff33cabe3da7575ce324e4827_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/13/1639366177319528106f9e6d576b89a52962a19da8_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/13/16393661801c017f99d1a22916f29430362671115f_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/13/1639366164f7d9d3dff33cabe3da7575ce324e4827_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/27/1640584417244dc158a16326316e913f035f0a43b1_thumbnail_600x.webp']"
87,https://us.shein.com/Solid-Face-Covering-p-11965198-cat-2397.html?mallCode=1,Solid Face Covering, SKU: sc2210201741321335,$2.30,one-size,DiFanYa Apparel Accessories,"[{'Color': 'Light Grey'}, {'Material': 'Polyester'}, {'Pattern Type': 'Plain'}, {'Type': 'Cloth Face Mask'}, {'Composition': '100% Polyester'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/25/166666816927d8b4cf125b8a66e0e06102a4f301c2_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/25/1666668167a537b121e8eeae0a1573b1b931a9e1cd_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/25/1666668168b77ff1caa0de115898f233c476132a81_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/25/166666816927d8b4cf125b8a66e0e06102a4f301c2_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/10/25/1666668167a537b121e8eeae0a1573b1b931a9e1cd_thumbnail_600x.webp']"
88,https://us.shein.com/SHEIN-Elastic-Waist-Floral-Print-Wide-Leg-Pants-p-6563277-cat-1740.html?mallCode=1,SHEIN Mulvari Elastic Waist Floral Print Wide Leg Pants, SKU: sw2110219482824518,$7.25,"XS(2),S(4),M(6),L(8/10),XL(12)",,"[{'Color': 'Multicolor'}, {'Style': 'Casual'}, {'Pattern Type': 'Floral'}, {'Type': 'Straight Leg'}, {'Closure Type': 'Elastic Waist'}, {'Waist Line': 'Natural'}, {'Length': 'Long'}, {'Fit Type': 'Regular Fit'}, {'Fabric': 'Non-Stretch'}, {'Material': 'Fabric'}, {'Composition': '100% Polyester'}, {'Care Instructions': 'Machine wash or professional dry clean'}, {'Body': 'Unlined'}, {'Sheer': 'No'}, {'Lining': '100% Polyester'}, {'Arabian Clothing': 'Yes'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/1640173785defd97b60701f5179ed2906590358073_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/1640173758b527505b1b2e0a74e36fea40a9eb9f14_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/164017376171732e412026988ee82c20fedc142264_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/16401737661a549d0a9ab94d02c574144f60a88cba_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/1640173771f589b3869b5f3082da7fc5ad18e6b78f_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/1640173775a57aec286a03ad23126171c55c725b1c_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/16401737806970be0a2ef7363195c908ae3f46f3ee_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/164017378323394f53356cf8436e9064f85bd75113_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/1640173785defd97b60701f5179ed2906590358073_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/1640173788c922c25eb43c36e02c713d15f7f79e24_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/1640173791e8c03bb60e1fbf73e49c663249dfdb7d_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/1640173785defd97b60701f5179ed2906590358073_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/12/22/1640173758b527505b1b2e0a74e36fea40a9eb9f14_thumbnail_600x.webp']"
89,https://us.shein.com/SHEIN-X-Kovid-Kapoor-Graphic-Print-Split-Thigh-Skirt-p-12972317-cat-1732.html?mallCode=1,SHEIN X Kovid Kapoor Graphic Print Split Thigh Skirt, SKU: sw2211047197141508,$10.99,"XS(2),S(4),M(6),L(8/10)",SHEIN X Kovid Kapoor,"[{'Color': 'Black and White'}, {'Style': 'Sexy'}, {'Pattern Type': 'Graphic'}, {'Details': 'Split Thigh'}, {'Waist Line': 'High Waist'}, {'Length': 'Midi'}, {'Type': 'Slit'}, {'Fabric': 'Slight Stretch'}, {'Material': 'Knitted Fabric'}, {'Composition': '95% Polyester, 5% Elastane'}, {'Care Instructions': 'Machine wash, do not dry clean,wash with the soft detergent'}, {'Sheer': 'No'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/02/07/16757384731d648b8038f5ae4a38204526ebfa1ea6_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/02/07/16757384461c1ad4e97c0edb7d5bba1a3806cbb8b5_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/02/07/16757384512f801857403352c59a7c28724ed4cf68_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/02/07/167573846125672282761c1c6b797e91602d01e241_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/02/07/167573846708406048394473eb2ee875ec2a902a73_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/02/07/16757384731d648b8038f5ae4a38204526ebfa1ea6_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/02/07/16757384731d648b8038f5ae4a38204526ebfa1ea6_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2023/02/07/16757384461c1ad4e97c0edb7d5bba1a3806cbb8b5_thumbnail_600x.webp']"
90,https://us.shein.com/ROMWE-Street-Life-Solid-Cargo-Joggers-p-3388458-cat-1740.html?mallCode=1,ROMWE Street Life Solid Cargo Joggers, SKU: rw2107171091199473,$7.42,"XS(2),S(4),M(6),L(8/10),XL(12),XXL(14)",ROMWE,"[{'Color': 'Army Green'}, {'Style': 'Casual'}, {'Pattern Type': 'Plain'}, {'Type': 'Cargo Pants'}, {'Closure Type': 'Elastic Waist'}, {'Details': 'Pocket'}, {'Waist Line': 'Natural'}, {'Length': 'Long'}, {'Fit Type': 'Regular Fit'}, {'Fabric': 'Non-Stretch'}, {'Material': 'Fabric'}, {'Composition': '100% Polyester'}, {'Care Instructions': 'Machine wash, do not dry clean'}, {'Body': 'Unlined'}, {'Sheer': 'No'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/08/12/1628762229febc93b3f30ca4c553772d78323af6fe_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/08/12/1628762224be82f343d777da3939866ae534555b26_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/08/12/162876222610633a1f7080d5425283a92e4a2d1768_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/08/12/1628762227474e9358ff8433517f8bd6c11c59c28d_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/08/12/1628762229febc93b3f30ca4c553772d78323af6fe_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/08/12/1628762229febc93b3f30ca4c553772d78323af6fe_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/08/12/1628762224be82f343d777da3939866ae534555b26_thumbnail_600x.webp']"
91,https://us.shein.com/Textured-Crisscross-Cut-Out-One-Piece-Swimsuit-Sheer-Mesh-Beach-Skirt-p-10603944-cat-2193.html?mallCode=1,Textured Crisscross Cut Out One Piece Swimsuit & Sheer Mesh Beach Skirt, SKU: sw2204221429297554,$13.99,"S(4),M(6),L(8/12),0XL-4XL",,"[{'Color': 'White'}, {'Style': 'Sexy'}, {'Pattern Type': 'Plain'}, {'Details': 'Criss Cross'}, {'Bottom Type': 'Skirt'}, {'Bra Type': 'Wireless Bra'}, {'Neckline': 'Halter'}, {'Fabric': 'High Stretch'}, {'Care Instructions': 'Machine wash, do not dry clean'}, {'Chest pad': 'Removable Padding'}, {'One-Pieces Material': 'Fabric'}, {'Skirts Material': 'Mesh Fabric'}, {'One-Pieces Composition': '82% Polyester, 18% Elastane'}, {'Skirts Composition': '95% Polyester, 5% Elastane'}, {'One-Pieces Body': 'Lined'}, {'Skirts Body': 'Unlined'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/11/14/1668401857a33b2f690f601aaeab54631fca3d17e3_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/11/14/1668401852e402362618441983bb0b12eb36d4ca4d_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/11/14/1668401854dd9dbf231b23718cd2224d0d13bc6647_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/11/14/1668401856f8538212ac7695aefb33655fd78e2d51_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/11/14/1668401857a33b2f690f601aaeab54631fca3d17e3_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/11/14/16684018606b34db61590d3e245f8facf23facc58c_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/11/14/1668401857a33b2f690f601aaeab54631fca3d17e3_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/11/14/1668401852e402362618441983bb0b12eb36d4ca4d_thumbnail_600x.webp']"
92,https://us.shein.com/Textured-Halter-Triangle-Bikini-Swimsuit-p-9992344-cat-1866.html?mallCode=1,Textured Halter Triangle Bikini Swimsuit, SKU: sw2202255685727232,$7.50,"S(4),M(6),L(8/12)",,"[{'Color': 'Dusty Pink'}, {'Style': 'Cute'}, {'Pattern Type': 'Plain'}, {'Details': 'Backless, Tie Back, Smocked'}, {'Bottom Type': 'Bikinis'}, {'Bra Type': 'Triangle'}, {'Neckline': 'Halter'}, {'Fabric': 'High Stretch'}, {'Care Instructions': 'Machine wash or professional dry clean'}, {'Chest pad': 'Removable Padding'}, {'Bikini Tops & Bikini Bottoms Material': 'Fabric'}, {'Bikini Tops & Bikini Bottoms Composition': '82% Polyester, 18% Elastane'}, {'Bikini Bottoms Body': 'Lined'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/06/165181715414ee99a19b77d8a6f7672b832ec43d3d_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/06/1651817150c1382fb66d2f32e1a767c270f37ac9b6_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/06/1651817147635fbecb6534f67ff859e85f76b56498_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/06/1651817143007a086b06b59a72d3e34a936f6d05a2_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/06/1651817145fe6907398cdf4d6f33f0b1a16c4cee6b_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/06/1651817148c7cfe85c91cb22988cb71a9a85ff53ff_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/06/1651817151ba64b4b421cf4fabd9d953302cec81a8_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/06/165181715414ee99a19b77d8a6f7672b832ec43d3d_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/06/165181715414ee99a19b77d8a6f7672b832ec43d3d_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/05/06/1651817150c1382fb66d2f32e1a767c270f37ac9b6_thumbnail_600x.webp']"
93,https://us.shein.com/Fishnet-overlay-Split-Cover-Up-p-2385631-cat-2176.html?mallCode=1,Fishnet overlay Split Cover Up, SKU: swcover03210325148,$14.99,one-size,,"[{'Color': 'Khaki'}, {'Neckline': 'V neck'}, {'Pattern Type': 'Plain'}, {'Sleeve Length': 'Short Sleeve'}, {'Details': 'Split'}, {'Fabric': 'Slight Stretch'}, {'Material': 'Fabric'}, {'Composition': '100% Polyester'}, {'Care Instructions': 'Machine wash or professional dry clean'}, {'Sheer': 'Yes'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/04/09/1617959221feb992c76b4d8708677c7155b7921443_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/04/09/161795921399959c3ae83c9620b5d51774062fa71f_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/04/09/1617959221feb992c76b4d8708677c7155b7921443_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/04/09/1617959233117ceb85169d00c8e2b03f514cb6cb9d_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/04/09/1617959244db92da0743ba6bd350d38f5ca3cc1e28_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/04/09/1617959251d6e01c66e02d7044ef2c00765691257c_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/04/09/1617959221feb992c76b4d8708677c7155b7921443_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2021/04/09/161795921399959c3ae83c9620b5d51774062fa71f_thumbnail_600x.webp']"
94,https://us.shein.com/ROMWE-X-Tiggtactoe-Letter-Frog-Graphic-Drop-Shoulder-Tee-p-11551562-cat-1738.html?mallCode=1,ROMWE X Tiggtactoe Letter Frog Graphic Drop Shoulder Tee, SKU: rw2209204449954634,$9.00,"S(4),M(6),L(8/10),XL(12)",ROMWE,"[{'Color': 'Lilac Purple'}, {'Style': 'Casual'}, {'Pattern Type': 'Letter, Cartoon'}, {'Neckline': 'Round Neck'}, {'Sleeve Length': 'Short Sleeve'}, {'Sleeve Type': 'Drop Shoulder'}, {'Length': 'Long'}, {'Fit Type': 'Oversized'}, {'Fabric': 'Slight Stretch'}, {'Material': 'Fabric'}, {'Composition': '95% Polyester, 5% Elastane'}, {'Care Instructions': 'Machine wash, do not dry clean'}, {'Sheer': 'No'}]","['https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/22/16638147536a3da6e00abc9549c9b5b47f0b0dff70_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/22/166381475193439dd4bb78ca51fb1b75da2f63f0aa_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/04/14/1649923836fcf7ca18c88ff1ab4202496a5e3e4119_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/22/16638147536a3da6e00abc9549c9b5b47f0b0dff70_thumbnail_600x.webp', 'https://storage.yandexcloud.net/clothes-and-wildberries/clothes-parsing-dataset/shein/2022/09/22/166381475193439dd4bb78ca51fb1b75da2f63f0aa_thumbnail_600x.webp']"
